[00:00:00.000 --> 00:00:06.000]   Okay, you should now be able to see my desktop.
[00:26:12.800 --> 00:26:20.640]   The legislator at some point in history decided to codify those rules but those rules were
[00:26:20.640 --> 00:26:29.480]   taken from the practical behavior of firms and other economic entities and that's quite
[00:26:29.480 --> 00:26:32.560]   interesting.
[00:26:32.560 --> 00:26:43.640]   As I said civil law regulates economic relationships among individuals and collective entities
[00:26:43.640 --> 00:26:57.000]   like private organizations and it is usually divided into three subdomains, contract law,
[00:26:57.000 --> 00:27:00.880]   civil liability and property law.
[00:27:00.880 --> 00:27:13.040]   As you may understand civil law has quite a huge impact on the topic we will be covering
[00:27:13.040 --> 00:27:19.000]   later on which is intellectual property because we will see that intellectual property has
[00:27:19.000 --> 00:27:28.800]   been somehow shaped by taking property law as a reference.
[00:27:28.800 --> 00:27:43.280]   By contract law, this is another important part of the story we are going to dig into.
[00:27:43.280 --> 00:27:47.880]   Contract law pertains to the formation and the conclusion of contracts and contracts
[00:27:47.880 --> 00:27:58.760]   are legal relationship among private individuals which bind them to a certain set of rules
[00:27:58.760 --> 00:28:03.280]   created by the contract.
[00:28:03.280 --> 00:28:13.840]   In the Italian civil code when talking about the effect of the contract the code says that
[00:28:13.840 --> 00:28:25.360]   the contract is like the law created by individuals part of the contract and so the contract is
[00:28:25.360 --> 00:28:27.640]   their law.
[00:28:27.640 --> 00:28:38.760]   A contract is a way of creating rules pertaining a private relationship between the parties
[00:28:38.760 --> 00:28:49.520]   of the contract.
[00:28:49.520 --> 00:28:58.920]   We will see that this is quite important because contract law is the body of rules that defines
[00:28:58.920 --> 00:29:02.240]   for instance software licenses.
[00:29:02.240 --> 00:29:13.640]   Even though when we will be talking about software licenses we will see that there are
[00:29:13.640 --> 00:29:23.920]   differences even within the Western legal tradition about the nature of a software license.
[00:29:23.920 --> 00:29:31.920]   In Europe a software license is a contract and it is regulated by contract law.
[00:29:31.920 --> 00:29:37.440]   Whereas instead in the United States a software license is not perceived as a contract.
[00:29:37.440 --> 00:29:45.120]   Well there are different opinions actually some legal scholars believe that software
[00:29:45.120 --> 00:29:51.200]   licenses are a contract whereas others do not believe that.
[00:29:51.200 --> 00:30:02.520]   Anyway we will see that from a European perspective contract law has quite an impact on software
[00:30:02.520 --> 00:30:06.120]   licenses.
[00:30:06.120 --> 00:30:19.840]   Civil liability instead is a different domain where we can find the rules taken into account
[00:30:19.840 --> 00:30:37.640]   unwanted relationship created by the interference among private activities.
[00:30:37.640 --> 00:30:41.400]   Common example is a car accident.
[00:30:41.400 --> 00:30:52.040]   If I have a car accident and I injure someone well according to the principles of civil
[00:30:52.040 --> 00:30:57.200]   liability I will have to pay damages.
[00:30:57.200 --> 00:31:11.000]   So the very fact of injuring someone creates a new unwanted legal relationship between
[00:31:11.000 --> 00:31:25.240]   the victim and the insurer which gives origin to a duty to restore the victim by paying
[00:31:25.240 --> 00:31:29.360]   damages.
[00:31:29.360 --> 00:31:38.960]   That's not very interesting for our perspective and for our course but still it's worth mentioning
[00:31:38.960 --> 00:31:41.320]   it.
[00:31:41.320 --> 00:31:51.120]   We will probably be talking a bit about civil liability when talking about you know software
[00:31:51.120 --> 00:32:01.040]   failures and we will see that usually software licenses provide a very strong limitation
[00:32:01.040 --> 00:32:11.600]   of liability of the producer of the software towards the user of the software.
[00:32:11.600 --> 00:32:20.920]   Basically the user of the software is not entitled to any form of damage when a software
[00:32:20.920 --> 00:32:27.720]   failure creates damage creates a loss.
[00:32:27.720 --> 00:32:36.400]   Even though as you probably have experienced many times a software failure may lead to
[00:32:36.400 --> 00:32:38.080]   a loss.
[00:32:38.080 --> 00:32:47.040]   I mean if you forget to save your file and you have been working the whole night for
[00:32:47.040 --> 00:32:54.680]   finishing your paper for the course of privacy and intellectual property right well you're
[00:32:54.680 --> 00:33:04.080]   going to allow to suffer quite a huge loss but unfortunately there is no way to get damages
[00:33:04.080 --> 00:33:18.360]   if the loss was caused by a software bug and that has quite interesting consequences on
[00:33:18.360 --> 00:33:27.040]   the market of software as we will see and also probably on the general security of software
[00:33:27.040 --> 00:33:36.080]   infrastructures we will come we will probably come to that.
[00:33:36.080 --> 00:33:41.460]   And then there is property law and property law is very important well first of all because
[00:33:41.460 --> 00:33:49.880]   property law is I believe at the very core of the Western legal tradition.
[00:33:49.880 --> 00:33:59.400]   The Western legal tradition is expression of an economic order and that economic order
[00:33:59.400 --> 00:34:04.640]   is based on private property.
[00:34:04.640 --> 00:34:14.400]   So you are too young to remember that one of the major distinction between legal systems
[00:34:14.400 --> 00:34:24.080]   until the beginning of the 90s of the last century was the contraposition among between
[00:34:24.080 --> 00:34:30.280]   the Western legal tradition and what at that time was called the Eastern legal tradition
[00:34:30.280 --> 00:34:33.520]   or the socialist legal tradition.
[00:34:33.520 --> 00:34:40.640]   And the major difference between those two traditions was indeed related to property
[00:34:40.640 --> 00:34:43.420]   law.
[00:34:43.420 --> 00:34:52.080]   Property law in the Western legal tradition is based on the concept of private property
[00:34:52.080 --> 00:35:05.440]   whereas instead in the socialist tradition property law was defining a collective type
[00:35:05.440 --> 00:35:08.800]   of ownership.
[00:35:08.800 --> 00:35:18.040]   Private property was confined within very strict boundaries you could be the owner of
[00:35:18.040 --> 00:35:30.440]   some basic goods like a car maybe a flatter or a house but it was not possible to have
[00:35:30.440 --> 00:35:36.520]   a property right over an enterprise.
[00:35:36.520 --> 00:35:46.200]   And that was the major distinction about those two legal and economic orders.
[00:35:46.200 --> 00:35:57.000]   So if I would have to define the Western economies I would say that they are based on property
[00:35:57.000 --> 00:36:00.580]   and contra.
[00:36:00.580 --> 00:36:11.760]   Property defines an exclusive right over resources and exclusive rights are from an economic
[00:36:11.760 --> 00:36:17.000]   perspective are very easily defined.
[00:36:17.000 --> 00:36:25.480]   I have a property right over this pen which means that I have an exclusive right over
[00:36:25.480 --> 00:36:38.260]   this pen and that means that I have the right to exclude everyone else from using this pen.
[00:36:38.260 --> 00:36:51.640]   So from an economic perspective property right equals right to exclude equals exclusive right.
[00:36:51.640 --> 00:36:57.480]   These are three ways of defining the same phenomenon.
[00:36:57.480 --> 00:37:08.160]   And so generally speaking property rights define an exclusive right over resources that
[00:37:08.160 --> 00:37:17.560]   is to say that there is one owner of the resource and the owner of the resource has the right
[00:37:17.560 --> 00:37:25.100]   to exclude everyone else from enjoying the resource.
[00:37:25.100 --> 00:37:37.360]   And then the second defining block of the Western legal economic order is contra.
[00:37:37.360 --> 00:37:49.680]   Because with contracts you may transfer that exclusive right over the resource which basically
[00:37:49.680 --> 00:37:57.400]   means that you can take this pen and sell it to someone else.
[00:37:57.400 --> 00:38:01.120]   But the sell is a contract.
[00:38:01.120 --> 00:38:10.000]   It's a relationship created by the will of the people wanting to share well wanting to
[00:38:10.000 --> 00:38:19.400]   exchange a resource pen with another resource the money to buy it.
[00:38:19.400 --> 00:38:29.440]   So it is fair to say that contract law and property law define a legal but also an economic
[00:38:29.440 --> 00:38:35.160]   order what we call the market based economy.
[00:38:35.160 --> 00:38:49.200]   With market based economy we mean that economic production and economic exchange happen in
[00:38:49.200 --> 00:38:59.400]   a marketplace through contract by exchanging rights defined by property law.
[00:38:59.400 --> 00:39:16.200]   And we will say that those two basic blocks of the economic order have been taken to shape
[00:39:16.200 --> 00:39:22.000]   also what we call intellectual property.
[00:39:22.000 --> 00:39:29.840]   And related to intellectual property which defines rights over intellectual resources
[00:39:29.840 --> 00:39:42.880]   we have licensing or licensing and contracts to exchange those resources.
[00:39:42.880 --> 00:39:51.000]   To just give you an example when I write a piece of software I acquire a property an
[00:39:51.000 --> 00:39:56.080]   intellectual property right over that piece of software.
[00:39:56.080 --> 00:40:04.880]   That means that I have a right to exclude everyone else from using or even studying
[00:40:04.880 --> 00:40:11.680]   or even looking at the software I created.
[00:40:11.680 --> 00:40:20.920]   Contract law a license as I said in different legal systems a license may be a contract
[00:40:20.920 --> 00:40:30.320]   or may not be a contract but that doesn't matter at this point.
[00:40:30.320 --> 00:40:44.200]   A license contract is the tool I may be using to give someone else permission to use or
[00:40:44.200 --> 00:40:52.600]   to study or even to share the software I created.
[00:40:52.600 --> 00:41:02.480]   So intellectual property is based on rules belonging to the civil law domain but they
[00:41:02.480 --> 00:41:16.880]   have some specificity that we will have to describe discover because I will try to argue
[00:41:16.880 --> 00:41:27.280]   in a few minutes probably that intellectual property is not property it is something different
[00:41:27.280 --> 00:41:30.320]   with a different regulation.
[00:41:30.320 --> 00:41:41.680]   But from a very abstract perspective from the from an economic perspective I should
[00:41:41.680 --> 00:41:56.960]   say that there are very much similarities between property the real stuff and intellectual
[00:41:56.960 --> 00:42:11.720]   property because both clearly define an exclusive right over resources and even though property
[00:42:11.720 --> 00:42:25.880]   defines exclusive rights over physical resources whereas instead intellectual property defines
[00:42:25.880 --> 00:42:36.440]   exclusive rights over known physical resources both define an exclusive right that can be
[00:42:36.440 --> 00:42:43.680]   traded in the marketplace through the use of a contract.
[00:42:43.680 --> 00:42:53.160]   A contract of sale when talking about physical property and the license when talking about
[00:42:53.160 --> 00:43:01.360]   intellectual property.
[00:43:01.360 --> 00:43:08.400]   But that's not it so far we have been talking about you remember let me go back to the first
[00:43:08.400 --> 00:43:21.040]   page for a second you remember well first of all is there any question no so everything
[00:43:21.040 --> 00:43:29.840]   is clear I assume you remember we started our definition by talking of a community of
[00:43:29.840 --> 00:43:41.320]   people in a given territory and and I said that that definition is a typical definition
[00:43:41.320 --> 00:43:47.760]   of the law within the western legal tradition.
[00:43:47.760 --> 00:43:56.520]   You know a community of people in a given territory regulated by a body of rules is
[00:43:56.520 --> 00:44:05.520]   what we define is our sorry it's how we define the state.
[00:44:05.520 --> 00:44:18.000]   The state is composed of three components as we said the legal system the body of rules
[00:44:18.000 --> 00:44:25.880]   the community of people the people you remember the United States declaration of independence
[00:44:25.880 --> 00:44:34.060]   we the people of the United States so the people and the territory.
[00:44:34.060 --> 00:44:44.880]   And as I said the territory is the you know physical boundary within which the rules of
[00:44:44.880 --> 00:44:56.980]   the legal system apply to the community of people which are bound by by by by by those
[00:44:56.980 --> 00:44:59.520]   rules.
[00:44:59.520 --> 00:45:15.200]   So within the western legal tradition.
[00:45:15.200 --> 00:45:21.640]   Within the western legal tradition.
[00:45:21.640 --> 00:45:34.120]   The legal system is a national phenomenon also because nation nations and states.
[00:45:34.120 --> 00:45:42.480]   Particularly in Europe have probably similar meanings well.
[00:45:42.480 --> 00:45:47.120]   That's not entirely true when we're talking when we are talking about a nation we are
[00:45:47.120 --> 00:45:53.920]   not just talking about the legal system and the state we are also talking about cultural
[00:45:53.920 --> 00:46:01.840]   links.
[00:46:01.840 --> 00:46:09.800]   Binding together the people and thus form in the community.
[00:46:09.800 --> 00:46:20.400]   But traditionally. Traditionally within the western legal tradition the the the the legal
[00:46:20.400 --> 00:46:27.320]   system is a national.
[00:46:27.320 --> 00:46:31.360]   Phenomenon.
[00:46:31.360 --> 00:46:46.040]   But then there are legal domains where a single nation or a single state is powerless.
[00:46:46.040 --> 00:46:51.360]   Or may become powerless.
[00:46:51.360 --> 00:47:06.520]   Think about war. To fight in states may lead to the annihilation of one of them.
[00:47:06.520 --> 00:47:15.000]   Which is being acquired by the first one.
[00:47:15.000 --> 00:47:29.200]   But there are others other domains where international cooperation is needed.
[00:47:29.200 --> 00:47:34.480]   And intellectual property is one of them.
[00:47:34.480 --> 00:47:39.360]   We will see by looking at the ease of the copyright that.
[00:47:39.360 --> 00:47:49.840]   Protecting an author of a piece of software or novel or book or poem or song or whatever
[00:47:49.840 --> 00:47:55.400]   or piece of music in one country.
[00:47:55.400 --> 00:48:02.920]   In one legal system is going to be useless if that protection is not afforded also by
[00:48:02.920 --> 00:48:10.280]   other countries especially in the global economy.
[00:48:10.280 --> 00:48:12.160]   I mean.
[00:48:12.160 --> 00:48:19.000]   I could be writing a piece of software which is very useful.
[00:48:19.000 --> 00:48:21.640]   For everyone.
[00:48:21.640 --> 00:48:30.720]   But I'm being protected only by the Italian legal system.
[00:48:30.720 --> 00:48:40.920]   Which has no power to shape the behavior of a French individual living in France.
[00:48:40.920 --> 00:48:44.800]   So in a global economy.
[00:48:44.800 --> 00:48:54.160]   For a court.
[00:48:54.160 --> 00:48:59.320]   It's useless because someone could be taking my piece of software.
[00:48:59.320 --> 00:49:01.400]   I see that my connection is unstable.
[00:49:01.400 --> 00:49:05.640]   Can you hear me?
[00:49:05.640 --> 00:49:07.120]   Do you have any problem?
[00:49:07.120 --> 00:49:08.120]   Okay.
[00:49:08.120 --> 00:49:09.120]   It's okay.
[00:49:09.120 --> 00:49:12.040]   So false alarm.
[00:49:12.040 --> 00:49:14.040]   Great.
[00:49:14.040 --> 00:49:24.280]   If I'm being protected in Italy but a French guy can make a copy of my piece of software
[00:49:24.280 --> 00:49:30.880]   and bring it to France and.
[00:49:30.880 --> 00:49:39.120]   I would not have any exclusive right there because I can claim an exclusive right only
[00:49:39.120 --> 00:49:42.400]   in Italy.
[00:49:42.400 --> 00:50:00.360]   And as I said in the global economy specifically with the Internet and stuff like that.
[00:50:00.360 --> 00:50:05.240]   Protection at the national level is basically useless.
[00:50:05.240 --> 00:50:10.800]   We will see that indeed intellectual property is one of the legal domain which has been
[00:50:10.800 --> 00:50:17.880]   globalized first.
[00:50:17.880 --> 00:50:25.840]   But how do we create legal rules at the international level.
[00:50:25.840 --> 00:50:32.160]   And this is where international law comes into place.
[00:50:32.160 --> 00:50:44.640]   International law defines the legal relationship among states or among individuals or collective
[00:50:44.640 --> 00:50:51.440]   entities belonging to different states.
[00:50:51.440 --> 00:50:58.480]   The first part of intellectual international law is called public international law.
[00:50:58.480 --> 00:51:07.600]   And it defines relationships among states.
[00:51:07.600 --> 00:51:15.560]   And we will see that public international law has been shaped upon the idea of contract
[00:51:15.560 --> 00:51:18.960]   law basically.
[00:51:18.960 --> 00:51:28.920]   Because at the international level states are equal in power.
[00:51:28.920 --> 00:51:42.160]   Like at the national level private individuals are equal with regard to contract law.
[00:51:42.160 --> 00:51:52.480]   I cannot force anyone of you to enter a legal relationship called the contract with me if
[00:51:52.480 --> 00:51:58.080]   you are not willing to.
[00:51:58.080 --> 00:52:00.160]   And the contrary applies.
[00:52:00.160 --> 00:52:09.640]   I cannot be forced to be part of the contract unless I'm willing to.
[00:52:09.640 --> 00:52:17.360]   Well public international law brings this concept at the international level so that
[00:52:17.360 --> 00:52:33.520]   at the international level states are not bound by rules if they did not accept those
[00:52:33.520 --> 00:52:35.600]   rules.
[00:52:35.600 --> 00:52:41.360]   This is not entirely true actually because there is also a part of the public international
[00:52:41.360 --> 00:52:50.040]   law which is called customary international law.
[00:52:50.040 --> 00:53:00.400]   In which case every state is bound to the rules belonging to customary international
[00:53:00.400 --> 00:53:03.360]   law.
[00:53:03.360 --> 00:53:21.280]   But like what happens at the national level the rules sorry I needed to drink some hot
[00:53:21.280 --> 00:53:29.800]   tea.
[00:53:29.800 --> 00:53:43.080]   I was saying at the international level customary rules are created by the repetition by the
[00:53:43.080 --> 00:53:53.880]   constant repetition of a given course of behavior.
[00:53:53.880 --> 00:54:13.640]   And that repetition at some point in time is perceived as being obliged as being mandatory.
[00:54:13.640 --> 00:54:27.280]   You know states have been fighting wars for thousands of years.
[00:54:27.280 --> 00:54:48.520]   And during the time some basic principles governing the behavior of state at war have
[00:54:48.520 --> 00:54:52.720]   emerged.
[00:54:52.720 --> 00:54:56.960]   So even war is not a rule less.
[00:54:56.960 --> 00:55:09.680]   There are rules that can be broken in which case the state braching the rules breaking
[00:55:09.680 --> 00:55:17.360]   the rule may be found responsible.
[00:55:17.360 --> 00:55:25.480]   And there are sanctions penalties if you want to call them that may be applied.
[00:55:25.480 --> 00:55:50.720]   Think about the Second World War and how it ended up with the trials against the war criminals.
[00:55:50.720 --> 00:56:02.880]   Part of the rules applied there were not public international law to which for instance the
[00:56:02.880 --> 00:56:06.480]   Nazi state committed itself.
[00:56:06.480 --> 00:56:13.640]   But they were part of customary international law.
[00:56:13.640 --> 00:56:27.720]   So there is also a body of international rules which are not created by the will of the state.
[00:56:27.720 --> 00:56:33.920]   But probably it is fair to say that the great majority of legal rules at the international
[00:56:33.920 --> 00:56:48.320]   level are created by a willing full cooperation among states.
[00:56:48.320 --> 00:56:58.720]   And that's definitely true for intellectual property as we will see.
[00:56:58.720 --> 00:57:13.160]   Maybe I have already said that but it is worth repeating.
[00:57:13.160 --> 00:57:19.560]   Intellectual property has been globalized.
[00:57:19.560 --> 00:57:26.960]   And it has been globalized through international law.
[00:57:26.960 --> 00:57:37.920]   And that's the reason why we can find some uniformity of the intellectual property regulation
[00:57:37.920 --> 00:57:48.920]   in very in almost every national legal system.
[00:57:48.920 --> 00:58:06.040]   These rules regulating intellectual property at the state level have been shaped by that
[00:58:06.040 --> 00:58:11.840]   international legal mayor.
[00:58:11.840 --> 00:58:20.240]   I hear some noise.
[00:58:20.240 --> 00:58:24.920]   Maybe some of you opened the microphone.
[00:58:24.920 --> 00:58:29.480]   It doesn't matter.
[00:58:29.480 --> 00:58:42.800]   Then as I said there is private international law which instead regulates the legal relationship
[00:58:42.800 --> 00:58:55.560]   among private individuals or private collective entities belonging to two different legal
[00:58:55.560 --> 00:58:58.560]   systems.
[00:58:58.560 --> 00:59:09.720]   But a few decades ago private international law was not very interesting for the ordinary
[00:59:09.720 --> 00:59:13.080]   people.
[00:59:13.080 --> 00:59:31.120]   The enterprises working at the international level were interested in private international
[00:59:31.120 --> 00:59:32.760]   law.
[00:59:32.760 --> 00:59:39.360]   Because their contract, just to give you an example, suppose I want to buy something from
[00:59:39.360 --> 00:59:49.000]   a German firm or a British firm.
[00:59:49.000 --> 00:59:50.720]   I signed.
[00:59:50.720 --> 00:59:53.560]   I conclude the contract.
[00:59:53.560 --> 00:59:54.560]   Sorry.
[00:59:54.560 --> 00:59:55.560]   Sorry.
[00:59:55.560 --> 00:59:56.560]   Sorry.
[00:59:56.560 --> 01:00:04.560]   Sorry, we had the kind of decision of the calendar of the top business.
[01:00:04.560 --> 01:00:10.160]   Last time I saw you giving us the goal.
[01:00:10.160 --> 01:00:16.800]   I see that there are approximately one student and one non-attending student.
[01:00:16.800 --> 01:00:22.120]   So that one will do it itself.
[01:00:22.120 --> 01:00:28.720]   I think that probably we will have something like the laboratory.
[01:00:28.720 --> 01:00:29.720]   Let me see.
[01:00:29.720 --> 01:00:31.760]   I have to stop sharing.
[01:00:31.760 --> 01:00:44.400]   I didn't open that window.
[01:00:44.400 --> 01:00:47.320]   That was an interesting class maybe.
[01:00:47.320 --> 01:00:51.280]   Maybe more interesting than mine.
[01:00:51.280 --> 01:00:52.280]   But I'm sorry.
[01:00:52.280 --> 01:00:57.600]   We had to stick to ours.
[01:00:57.600 --> 01:00:59.880]   Let me go back.
[01:00:59.880 --> 01:01:04.000]   I was talking about private international law.
[01:01:04.000 --> 01:01:18.360]   I said if I create a contract with a German firm to buy a widget or something, it doesn't
[01:01:18.360 --> 01:01:21.800]   really matter.
[01:01:21.800 --> 01:01:23.920]   Sorry.
[01:01:23.920 --> 01:01:27.840]   I lost.
[01:01:27.840 --> 01:01:42.800]   Please give me just one second.
[01:01:42.800 --> 01:01:50.320]   Okay.
[01:01:50.320 --> 01:02:05.760]   Sorry.
[01:02:05.760 --> 01:02:22.600]   If I create a contract with someone belonging to a different legal system and there is a
[01:02:22.600 --> 01:02:34.560]   problem, we have an international sort of contract.
[01:02:34.560 --> 01:02:46.200]   We have to decide which are the rules regulating that contract.
[01:02:46.200 --> 01:02:51.960]   Because the rules are regulating a contract in Italy and in the UK may be different or
[01:02:51.960 --> 01:03:02.000]   the rules regulating the contract in Italy and in Germany may be different.
[01:03:02.000 --> 01:03:10.160]   Which rules are we going to apply?
[01:03:10.160 --> 01:03:18.880]   That's where private international law comes into play.
[01:03:18.880 --> 01:03:24.160]   As I said, traditionally private international law was not a very important domain of the
[01:03:24.160 --> 01:03:30.160]   legal system, but now it is.
[01:03:30.160 --> 01:03:39.480]   I believe that everyone in our class has some time somehow concluded the contract with someone
[01:03:39.480 --> 01:03:42.880]   belonging to a different legal system.
[01:03:42.880 --> 01:03:49.200]   That contract is regulated by international law.
[01:03:49.200 --> 01:03:55.720]   But still the important part of international law we need to deal with is public international
[01:03:55.720 --> 01:04:07.960]   law because we will see that that's the major source of rules regulating intellectual property.
[01:04:07.960 --> 01:04:13.120]   And then there is a European law and I'm sorry but I will have to talk a lot about European
[01:04:13.120 --> 01:04:14.120]   law.
[01:04:14.120 --> 01:04:22.920]   I will actually be using two legal systems as a reference for our discussion of intellectual
[01:04:22.920 --> 01:04:33.120]   property and specifically about intellectual property rights and privacy.
[01:04:33.120 --> 01:04:46.160]   Because the European Union is basically an international organization
[01:04:46.160 --> 01:04:56.520]   created by treaties.
[01:04:56.520 --> 01:04:59.160]   I was talking about private international law.
[01:04:59.160 --> 01:05:05.640]   I was making a comparison between private international law and contract law.
[01:05:05.640 --> 01:05:15.840]   What is called contract at the national level is called treaty at the international level.
[01:05:15.840 --> 01:05:24.440]   So you may look at a treaty as a contract between states.
[01:05:24.440 --> 01:05:32.480]   It's probably an oversimplification but I think it's a useful analogy.
[01:05:32.480 --> 01:05:35.160]   So let's go back to European law.
[01:05:35.160 --> 01:05:36.960]   What is European law?
[01:05:36.960 --> 01:05:45.040]   Because the European Union is just an international organization created by, well, quite few treaties
[01:05:45.040 --> 01:05:49.280]   but anyway treaties.
[01:05:49.280 --> 01:06:05.120]   And as you know, as Brexit proved, you may withdraw from those treaties like you may
[01:06:05.120 --> 01:06:08.360]   withdraw from a contract.
[01:06:08.360 --> 01:06:18.360]   So is European law just the body of rules created by those treaties?
[01:06:18.360 --> 01:06:22.320]   And the answer is no.
[01:06:22.320 --> 01:06:36.760]   Because the European Union is a very peculiar international organization.
[01:06:36.760 --> 01:06:40.560]   And indeed we call it union.
[01:06:40.560 --> 01:06:51.480]   If not a federal government as we find in the United States, I could say that there
[01:06:51.480 --> 01:06:57.480]   is something similar in the United Kingdom even though it is not.
[01:06:57.480 --> 01:07:03.760]   Because in the United Kingdom we are talking about four nations, not four states.
[01:07:03.760 --> 01:07:09.800]   One island, Scotland, Wales and England.
[01:07:09.800 --> 01:07:12.000]   Those are not states.
[01:07:12.000 --> 01:07:21.960]   Whereas instead California, Florida or New Mexico or Texas are states.
[01:07:21.960 --> 01:07:28.560]   But the United States are not an international organization.
[01:07:28.560 --> 01:07:38.960]   They are a federation with their own constitution, with federal law, federal judges and the federal
[01:07:38.960 --> 01:07:40.960]   government.
[01:07:40.960 --> 01:07:50.320]   Well, the European Union is not a federation because it has been created by treaties but
[01:07:50.320 --> 01:08:03.760]   still it is not -- it would be a simplification to trade it as an international organization.
[01:08:03.760 --> 01:08:05.760]   Why?
[01:08:05.760 --> 01:08:19.760]   Because member states of the European Union gave to the European Union the power to create
[01:08:19.760 --> 01:08:26.040]   legal rules.
[01:08:26.040 --> 01:08:33.000]   What is called statutory law.
[01:08:33.000 --> 01:08:44.400]   So in some domains the European Union may be creating legal rules which are binding
[01:08:44.400 --> 01:08:48.200]   for every European citizens.
[01:08:48.200 --> 01:08:53.840]   This is the case of privacy for instance.
[01:08:53.840 --> 01:09:18.160]   We will be talking about the general regulation on privacy which is a statute of law.
[01:09:18.160 --> 01:09:32.920]   Defining the right to privacy of European citizens and which is directly binding within
[01:09:32.920 --> 01:09:42.200]   the legal system of each member state.
[01:09:42.200 --> 01:09:53.080]   We will see that there are -- I don't know whether we will see that.
[01:09:53.080 --> 01:09:58.440]   I will just give you a brief introduction to that right now.
[01:09:58.440 --> 01:10:05.800]   We will see that -- sorry for the repetition.
[01:10:05.800 --> 01:10:26.360]   In the European law is basically composed by three categories of legally binding acts
[01:10:26.360 --> 01:10:31.880]   or statutory tools or I don't know.
[01:10:31.880 --> 01:10:37.640]   You can call them.
[01:10:37.640 --> 01:10:47.000]   The first one is directives.
[01:10:47.000 --> 01:10:54.840]   Directives is the second one regulation.
[01:10:54.840 --> 01:10:59.840]   And the third one, the cesion.
[01:10:59.840 --> 01:11:10.720]   Well, probably I should change the order.
[01:11:10.720 --> 01:11:15.120]   This is better.
[01:11:15.120 --> 01:11:20.640]   Regulations are laws created by the European Union.
[01:11:20.640 --> 01:11:25.920]   The European Commission makes a proposal.
[01:11:25.920 --> 01:11:33.440]   The European Council and the European Parliament adopt the proposal and the proposal becomes
[01:11:33.440 --> 01:11:44.880]   a regulation.
[01:11:44.880 --> 01:11:54.640]   A regulation creates rules which are directly immediately binding in each member state.
[01:11:54.640 --> 01:12:02.480]   So if there is a regulation stating that I have the right to do something and the Italian
[01:12:02.480 --> 01:12:15.000]   government doesn't want me to do that, well, I can enforce my right within my legal system.
[01:12:15.000 --> 01:12:24.520]   Italian judges must apply European regulations.
[01:12:24.520 --> 01:12:30.400]   Directives instead are a different legal tool.
[01:12:30.400 --> 01:12:40.880]   Even though they may have some direct effect within each legal system of the member states,
[01:12:40.880 --> 01:12:54.400]   usually directives are commands given to the member states to adopt internal legislation
[01:12:54.400 --> 01:13:12.840]   which complies with basic principles set by the directive.
[01:13:12.840 --> 01:13:21.800]   So whereas the regulation has immediate effect in each member state and may be applied by
[01:13:21.800 --> 01:13:42.600]   judges in each member state, usually directives require a national implementation with a national
[01:13:42.600 --> 01:13:45.280]   law.
[01:13:45.280 --> 01:13:51.280]   I won't talk about decisions because decisions are not actually legal rules as we intend
[01:13:51.280 --> 01:13:52.280]   to do.
[01:13:52.280 --> 01:14:00.920]   Legal rules are general rules to be applied to an undefined categories of individuals.
[01:14:00.920 --> 01:14:13.240]   Whereas instead decisions apply to a specific situation and to a specific individual or
[01:14:13.240 --> 01:14:21.960]   collective entity.
[01:14:21.960 --> 01:14:24.760]   Why am I talking about European law?
[01:14:24.760 --> 01:14:31.480]   Because well, because of privacy.
[01:14:31.480 --> 01:14:40.080]   And as we will see with privacy, we will see that actually directives and regulations are
[01:14:40.080 --> 01:15:00.840]   usually steps taken by the European Union to first harmonize and then unify legal rules
[01:15:00.840 --> 01:15:08.040]   of the member states.
[01:15:08.040 --> 01:15:10.760]   Why?
[01:15:10.760 --> 01:15:22.400]   Well because we have a single internal market and a single internal market requires shared
[01:15:22.400 --> 01:15:24.400]   rules.
[01:15:24.400 --> 01:15:46.800]   As you may understand, I was telling you to the unification of European rules, legal
[01:15:46.800 --> 01:15:50.280]   rules.
[01:15:50.280 --> 01:15:54.880]   History is a perfect example.
[01:15:54.880 --> 01:16:03.840]   In the mid-90s, the European Union adopted, at that time it was called the European Economic
[01:16:03.840 --> 01:16:09.840]   Community.
[01:16:09.840 --> 01:16:13.560]   But that doesn't matter.
[01:16:13.560 --> 01:16:28.440]   In the mid-90s, the European Union adopted a directive for regulating privacy rights
[01:16:28.440 --> 01:16:32.960]   of European citizens.
[01:16:32.960 --> 01:16:42.400]   That directive has been implemented at the national level by the member states with national
[01:16:42.400 --> 01:16:48.520]   laws.
[01:16:48.520 --> 01:16:59.840]   They were obviously implementing the same set of principles but with slight differences
[01:16:59.840 --> 01:17:06.000]   which could be quite important.
[01:17:06.000 --> 01:17:21.600]   And that led to a sort of harmonization of member states' privacy regulations.
[01:17:21.600 --> 01:17:36.080]   A few years ago, after almost 20 years of harmonizing the regulation of privacy in the
[01:17:36.080 --> 01:17:48.880]   member states, the European Union adopted a regulation which sets the same rules for
[01:17:48.880 --> 01:17:53.800]   every member state.
[01:17:53.800 --> 01:18:06.960]   So now in Europe, the European Union, the privacy regulation is the same everywhere.
[01:18:06.960 --> 01:18:20.680]   So the directive tried to harmonize the regulation on privacy.
[01:18:20.680 --> 01:18:36.920]   The regulation unified it.
[01:18:36.920 --> 01:18:47.080]   So this is specifically important for privacy but not just privacy also for, as we will
[01:18:47.080 --> 01:18:51.840]   see, the legal protection of computer programs.
